"预测结果","真实结果"
10564383.221484303,0
10640991.570432225,11669123
10641547.101124883,0
10641551.129593773,1789332
10641551.158806492,2731733
10641551.159018328,74791988
10641551.159019865,0
10641551.159019876,20518535
10641551.159019876,3440418
10641551.159019876,27323602
10641551.159019876,507917
10641551.159019876,8041234
10641551.159019876,38389197
10641551.159019876,1136001
10641551.159019876,1057301
10641551.159019876,0
10641551.159019876,13135203
10641551.159019876,0
10641551.159019876,7174510
10641551.159019876,2066723
10641551.159019876,27350278
10641551.159019876,0
10641551.159019876,0
10641551.159019876,0
10641551.159019876,0
10641551.159019876,0
10641551.159019876,0
10641551.159019876,45791915
10641551.159019876,2036667
10641551.159019876,4678986
10641551.159019876,7578298
10641551.159019876,8176433
10641551.159019876,74597752
10641551.159019876,0
10641551.159019876,0
10641551.159019876,0
10641551.159019876,8714051
10641551.159019876,1253925
10641551.159019876,9075405
10641551.159019876,0
10641551.159019876,0
10641551.159019876,1928014
10641551.159019876,34820775
10641551.159019876,0
10641551.159019876,60442965
10641551.159019876,0
10641551.159019876,14349604
10641551.159019876,2003270
10641551.159019876,26920423
10641551.159019876,1840248
10641551.159019876,6079210
10641551.159019876,0
10641551.159019876,651964
10641551.159019876,81520802
10641551.159019876,13851513
10641551.159019876,4198780
10641551.159019876,3301033
10641551.159019876,2793
10641551.159019876,1674834
10641551.159019876,3666347
10641551.159019876,18854056
10641551.159019876,12840580
10641551.159019876,661360
10641551.159019876,2525650
10641551.159019876,788505
10641551.159019876,4564238
10641551.159019876,28914892
10641551.159019876,19596243
10641551.159019876,1579778
10641551.159019876,1786251
10641551.159019876,5322631
10641551.159019876,19707
10641551.159019876,8438172
10641551.159019876,0
10641551.159019876,60915
10641551.159019876,11218991
10641551.159019876,12527
10641551.159019876,0
10641551.159019876,5222264
10641551.159019876,0
10641551.159019876,2672181
10641551.159019876,0
10641551.159019876,34915500
10641551.159019876,3276585
10641551.159019876,116837
10641551.159019876,1509636
10641551.159019876,2138976
10641551.159019876,1184582
10641551.159019876,1041686
10641551.159019876,0
10641551.159019876,22827206
10641551.159019876,69166
10641551.159019876,1964651
10641551.159019876,64749
10641551.159019876,0
10641551.159019876,5257184
10641551.159019876,0
10641551.159019876,5584350
10641551.159019876,5213145
10641551.159019876,0
10641551.159019876,0
10641551.159019876,12184411
10641551.159019876,0
10641551.159019876,1356609
10641551.159019876,26275
10641551.159019876,0
10641551.159019876,0
10641551.159019876,3456
10641551.159019876,1339820
10641551.159019876,6475813
10641551.159019876,4625890
10641551.159019876,0
10641551.159019876,32331750
10641551.159019876,0
10641551.159019876,1342539
10641551.159019876,0
10641551.159019876,16054118
10641551.159019876,0
10641551.159019876,0
10641551.159019876,0
10641551.159019876,0
10641551.159019876,5972
10641551.159019876,31632126
10641551.159019876,21908095
10641551.159019876,2617924
10641551.159019876,9331741
10641551.159019876,6564792
10641551.159019876,3816562
10641551.159019876,139589
10641551.159019876,0
10641551.159019876,7562310
10641551.159019876,0
10641551.159019876,151458
10641551.159019876,6062361
10641551.159019876,29961706
10641551.159019876,7124417
10641551.159019876,2471664
10641551.159019876,10845
10641551.159019876,225617
10641551.159019876,349440
10641551.159019876,33527
10641551.159019876,373052
10641551.159019876,12393279
10641551.159019876,3712623
10641551.159019876,0
10641551.159019876,2722296
10641551.159019876,2781815
10641551.159019876,2119116
10641551.159019876,3915781
10641551.159019876,0
10641551.159019876,41983879
10641551.159019876,4631222
10641551.159019876,0
10641551.159019876,0
10641551.159019876,300604
10641551.159019876,9288526
10641551.159019876,4219040
10641551.159019876,164724
10641551.159019876,0
10641551.159019876,36966
10641551.159019876,184306
10641551.159019876,5477
10641551.159019876,0
10641551.159019876,16339794
10641551.159019876,0
10641551.159019876,7384733
10641551.159019876,0
10641551.159019876,0
10641551.159019876,1647527
10641551.159019876,303320
10641551.159019876,3640816
10641551.159019876,45104229
10641551.159019876,120391
10641551.159019876,0
10641551.159019876,2334232
10641551.159019876,0
10641551.159019876,733352
10641551.159019876,714935
10641551.159019876,907392
10641551.159019876,0
10641551.159019876,1176021
10641551.159019876,0
10641551.159019876,1023897
10641551.159019876,0
10641551.159019876,26981123
10641551.159019876,2830331
10641551.159019876,123158
10641551.159019876,3809970
10641551.159019876,21690566
10641551.159019876,0
10641551.159019876,28192154
10641551.159019876,71679874
10641551.159019876,2904660
10641551.159019876,667980
10641551.159019876,8320219
10641551.159019876,19160241
10641551.159019876,2649616
10641551.159019876,123799
10641551.159019876,6794966
10641551.159019876,0
10641551.159019876,1083076
10641551.159019876,0
10641551.159019876,0
10641551.159019876,161754
10641551.159019876,0
10641551.159019876,282429
10641551.159019876,970418
10641551.159019876,10472824
10641551.159019876,112538
10641551.159019876,0
10641551.159019876,0
10641551.159019876,29889864
10641551.159019876,2097567
10641551.159019876,1449906
10641551.159019876,2465161
10641551.159019876,46246
10641551.159019876,44526927
10641551.159019876,2114928
10641551.159019876,5032308
10641551.159019876,0
10641551.159019876,0
10641551.159019876,1059193
10641551.159019876,0
10641551.159019876,48314
10641551.159019876,66590229
10641551.159019876,20066
10641551.159019876,109014
10641551.159019876,52287502
10641551.159019876,0
10641551.159019876,0
10641551.159019876,1921069
10641551.159019876,7210566
10641551.159019876,0
10641551.159019876,0
10641551.159019876,2989650
10641551.159019876,9862494
10641551.159019876,2650864
10641551.159019876,24904583
10641551.159019876,441262
10641551.159019876,8636555
10641551.159019876,37881606
10641551.159019876,10804803
10641551.159019876,11523924
10641551.159019876,3363538
10641551.159019876,77517314
10641551.159019876,35979
10641551.159019876,0
10641551.159019876,1031602
10641551.159019876,7322394
10641551.159019876,9137600
10641551.159019876,0
10641551.159019876,0
10641551.159019876,566269
10641551.159019876,73884607
10641551.159019876,211394
10641551.159019876,7974942
10641551.159019876,7010706
10641551.159019876,36895942
10641551.159019876,46588716
10641551.159019876,12778686
10641551.159019876,34861495
10641551.159019876,0
10641551.159019876,0
10641551.159019876,20114398
10641551.159019876,2896
10641551.159019876,454394
10641551.159019876,3384910
10641551.159019876,15065605
10641551.159019876,2899042
10641551.159019876,0
10641551.159019876,23631218
10641551.159019876,1829737
10641551.159019876,12474187
10641551.159019876,11466
10641551.159019876,14393590
10641551.159019876,93280137
10641551.159019876,5366
10641551.159019876,1403864
10641551.159019876,17694728
10641551.159019876,2159340
10641551.159019876,3604
10641551.159019876,8622954
10641551.159019876,8776285
10641551.159019876,817334
10641551.159019876,1085470
10641551.159019876,38248118
10641551.159019876,2268118
10641551.159019876,194715
10641551.159019876,13309378
10641551.159019876,12505
10641551.159019876,9373705
10641551.159019876,10271798
10641551.159019876,7530488
10641551.159019876,21610775
10641551.159019876,0
10641551.159019876,0
10641551.159019876,24848064
10641551.159019876,19312443
10641551.159019876,9576
10641551.159019876,30982
10641551.159019876,1231057
10641551.159019876,5339068
10641551.159019876,604201
10641551.159019876,24982173
10641551.159019876,1989652
10641551.159019876,2930079
10641551.159019876,7142538
10641551.159019876,641196
10641551.159019876,23905309
10641551.159019876,0
10641551.159019876,34023313
10641551.159019876,0
10641551.159019876,5884404
10641551.159019876,653537
10641551.159019876,13885337
10641551.159019876,355004419
10641551.159019876,15024478
10641551.159019876,0
10641551.159019876,57434323
10641551.159019876,64871
10641551.159019876,0
10641551.159019876,26255867
10641551.159019876,33856100
10641551.159019876,14765780
10641551.159019876,3490339
10641551.159019876,104171
10641551.159019876,5771
10641551.159019876,9909634
10641551.159019876,417987
10641551.159019876,6703465
10641551.159019876,4684849
10641551.159019876,3809717
10641551.159019876,36219673
10641551.159019876,4174795
10641551.159019876,572831
10641551.159019876,420948
10641551.159019876,0
10641551.159019876,3018879
10641551.159019876,0
10641551.159019876,10894717
10641551.159019876,110186
10641551.159019876,0
10641551.159019876,1781202
10641551.159019876,3199968
10641551.159019876,1036025
10641551.159019876,3711391
10641551.159019876,0
10641551.159019876,0
10641551.159019876,5221105
10641551.159019876,2553884
10641551.159019876,44152759
10641551.159019876,57332877
10641551.159019876,1770658
10641551.159019876,0
10641551.159019876,0
10641551.159019876,18626296
10641551.159019876,5717205
10641551.159019876,4840195
10641551.159019876,7871503
10641551.159019876,301581
10641551.159019876,596076
10641551.159019876,0
10641551.159019876,3722153
10641551.159019876,3610528
10641551.159019876,0
10641551.159019876,31070608
10641551.159019876,26284
10641551.159019876,672245
10641551.159019876,41835
10641551.159019876,32341745
10641551.159019876,427463
10641551.159019876,896722
10641551.159019876,17381588
10641551.159019876,11784449
10641551.159019876,1691765
10641551.159019876,0
10641551.159019876,0
10641551.159019876,7346666
10641551.159019876,1519942
10641551.159019876,4557370
10641551.159019876,3485927
10641551.159019876,10549
10641551.159019876,25048269
10641551.159019876,55191578
10641551.159019876,0
10641551.159019876,208361685
10641551.159019876,3241361
10641551.159019876,34882665
10641551.159019876,9938582
10641551.159019876,3180279
10641551.159019876,36049878
10641551.159019876,23808610
10641551.159019876,0
10641551.159019876,47455035
10641551.159019876,1868824
10641551.159019876,13911658
10641551.159019876,17126248
10641551.159019876,0
10641551.159019876,2721040
