"预测结果","真实结果"
11281231.792588584,2880074
11644349.088476943,11442090
11656037.01165745,3067133
11656413.219427833,134905
11656425.328703733,2381841
11656425.718473895,0
11656425.731019713,5077586
11656425.731423534,759120
11656425.731436532,4743801
11656425.731436951,15145318
11656425.731436964,3036872
11656425.731436964,96321
11656425.731436964,439540
11656425.731436964,63247
11656425.731436964,1900302
11656425.731436964,0
11656425.731436964,0
11656425.731436964,1522806
11656425.731436964,0
11656425.731436964,512274
11656425.731436964,0
11656425.731436964,789767
11656425.731436964,0
11656425.731436964,0
11656425.731436964,1982352
11656425.731436964,1795679
11656425.731436964,0
11656425.731436964,10015218
11656425.731436964,12697917
11656425.731436964,72080968
11656425.731436964,115424
11656425.731436964,0
11656425.731436964,0
11656425.731436964,0
11656425.731436964,15568207
11656425.731436964,0
11656425.731436964,10760254
11656425.731436964,836711
11656425.731436964,255767
11656425.731436964,1746121
11656425.731436964,0
11656425.731436964,523384
11656425.731436964,3594358
11656425.731436964,47075268
11656425.731436964,0
11656425.731436964,0
11656425.731436964,46136755
11656425.731436964,0
11656425.731436964,462480
11656425.731436964,1815931
11656425.731436964,2803119
11656425.731436964,9204599
11656425.731436964,0
11656425.731436964,15175531
11656425.731436964,260002
11656425.731436964,21248
11656425.731436964,0
11656425.731436964,0
11656425.731436964,2235074
11656425.731436964,33566289
11656425.731436964,1906809
11656425.731436964,18195377
11656425.731436964,0
11656425.731436964,46084507
11656425.731436964,0
11656425.731436964,7353949
11656425.731436964,3397186
11656425.731436964,775413
11656425.731436964,12965745
11656425.731436964,7815489
11656425.731436964,931484
11656425.731436964,0
11656425.731436964,0
11656425.731436964,0
11656425.731436964,0
11656425.731436964,446
11656425.731436964,3827909
11656425.731436964,0
11656425.731436964,0
11656425.731436964,8590134
11656425.731436964,28322567
11656425.731436964,0
11656425.731436964,3718004
11656425.731436964,100630
11656425.731436964,322778
11656425.731436964,0
11656425.731436964,10765801
11656425.731436964,2219852
11656425.731436964,0
11656425.731436964,0
11656425.731436964,221290
11656425.731436964,763149
11656425.731436964,5031128
11656425.731436964,2733853
11656425.731436964,0
11656425.731436964,0
11656425.731436964,2538097
11656425.731436964,122410
11656425.731436964,13027727
11656425.731436964,3927143
