"预测结果","真实结果"
11926696.01137738,20381654
12086193.087975603,936204
12088326.060713327,0
12088354.58520291,355429
12088354.966664188,713966
12088354.971765513,3994067
12088354.971833734,1068892
12088354.971834645,6551820
12088354.971834658,8699049
12088354.971834658,31647542
12088354.971834658,633360
12088354.971834658,29992141
12088354.971834658,16981722
12088354.971834658,1704720
12088354.971834658,124823
12088354.971834658,1714
12088354.971834658,2924803
12088354.971834658,96
12088354.971834658,0
12088354.971834658,0
12088354.971834658,23773
12088354.971834658,0
12088354.971834658,27279
12088354.971834658,0
12088354.971834658,2895927
12088354.971834658,0
12088354.971834658,0
12088354.971834658,0
12088354.971834658,0
12088354.971834658,58943
12088354.971834658,0
12088354.971834658,2074582
12088354.971834658,5395748
12088354.971834658,1903768
12088354.971834658,4159815
12088354.971834658,7680357
12088354.971834658,0
12088354.971834658,47020
12088354.971834658,0
12088354.971834658,4025311
12088354.971834658,1026444
12088354.971834658,0
12088354.971834658,838257
12088354.971834658,12749032
12088354.971834658,25576443
12088354.971834658,3933282
12088354.971834658,0
12088354.971834658,6068232
12088354.971834658,1690103
12088354.971834658,3878586
12088354.971834658,63199547
12088354.971834658,790365
12088354.971834658,0
12088354.971834658,969036
12088354.971834658,2121982
12088354.971834658,8878
12088354.971834658,3152254
12088354.971834658,26053322
12088354.971834658,0
12088354.971834658,94054027
12088354.971834658,3406202
12088354.971834658,2722172
12088354.971834658,0
12088354.971834658,1840813
12088354.971834658,2862147
12088354.971834658,0
12088354.971834658,134745
12088354.971834658,1412197
12088354.971834658,79714844
12088354.971834658,161557
12088354.971834658,0
12088354.971834658,10171
12088354.971834658,23293479
12088354.971834658,33850099
12088354.971834658,8588355
12088354.971834658,0
12088354.971834658,3514881
12088354.971834658,0
12088354.971834658,1393816
12088354.971834658,0
12088354.971834658,1047211
12088354.971834658,1801198
12088354.971834658,26605885
12088354.971834658,931939
12088354.971834658,3166624
12088354.971834658,0
12088354.971834658,0
12088354.971834658,0
12088354.971834658,0
12088354.971834658,2783742
12088354.971834658,5701959
12088354.971834658,1321164
12088354.971834658,8226678
12088354.971834658,4786003
12088354.971834658,0
12088354.971834658,2433769
12088354.971834658,4746003
12088354.971834658,7560066
12088354.971834658,0
12088354.971834658,3286555
12088354.971834658,0
12088354.971834658,2704888
12088354.971834658,1931540
12088354.971834658,1321635
12088354.971834658,14803101
12088354.971834658,47047
12088354.971834658,11586481
12088354.971834658,70904524
12088354.971834658,609465
12088354.971834658,279966
12088354.971834658,0
12088354.971834658,859607
12088354.971834658,424804
12088354.971834658,12127388
12088354.971834658,0
12088354.971834658,17700
12088354.971834658,0
12088354.971834658,42917300
12088354.971834658,11397136
12088354.971834658,0
12088354.971834658,5907633
12088354.971834658,133174
12088354.971834658,0
12088354.971834658,1317473
12088354.971834658,5674854
12088354.971834658,2049438
12088354.971834658,14971
12088354.971834658,125471980
12088354.971834658,1300334
12088354.971834658,42312203
12088354.971834658,32833695
12088354.971834658,3019384
12088354.971834658,2318849
12088354.971834658,12562455
12088354.971834658,0
12088354.971834658,3038420
12088354.971834658,1926360
12088354.971834658,0
12088354.971834658,896
12088354.971834658,23756807
12088354.971834658,24615270
12088354.971834658,1168800
12088354.971834658,0
12088354.971834658,43378763
12088354.971834658,2199810
12088354.971834658,0
12088354.971834658,4431800
12088354.971834658,46167229
12088354.971834658,0
12088354.971834658,0
12088354.971834658,0
12088354.971834658,0
12088354.971834658,0
12088354.971834658,73802852
12088354.971834658,8644378
12088354.971834658,1907048
12088354.971834658,18295650
12088354.971834658,39536139
12088354.971834658,4171186
12088354.971834658,5428797
12088354.971834658,3708304
12088354.971834658,0
12088354.971834658,67940
12088354.971834658,3291882
12088354.971834658,1054677
12088354.971834658,8481689
12088354.971834658,6978565
12088354.971834658,3304494
12088354.971834658,25900976
12088354.971834658,17293694
12088354.971834658,2138752
12088354.971834658,5812866
12088354.971834658,0
12088354.971834658,33671488
