"预测结果","真实结果"
10476660.468389932,0
10713621.188469883,2498132
10718980.757297203,288368
10719101.979827272,29345635
10719104.721633986,76409
10719104.783648068,12496594
10719104.785050701,0
10719104.785082426,0
10719104.785083143,2485891
10719104.78508316,3935544
10719104.78508316,75448544
10719104.78508316,2323276
10719104.78508316,1166670
10719104.78508316,20852865
10719104.78508316,3012160
10719104.78508316,1729291
10719104.78508316,916080
10719104.78508316,14823887
10719104.78508316,9662789
10719104.78508316,6493674
10719104.78508316,91135
10719104.78508316,0
10719104.78508316,8715478
10719104.78508316,0
10719104.78508316,5133046
10719104.78508316,0
10719104.78508316,63231544
10719104.78508316,17831994
10719104.78508316,0
10719104.78508316,1915304
10719104.78508316,0
10719104.78508316,1650795
10719104.78508316,9064549
10719104.78508316,0
10719104.78508316,0
10719104.78508316,7070546
10719104.78508316,1117583
10719104.78508316,0
10719104.78508316,4215448
10719104.78508316,0
10719104.78508316,73260077
10719104.78508316,0
10719104.78508316,9866673
10719104.78508316,805108
10719104.78508316,0
10719104.78508316,0
10719104.78508316,0
10719104.78508316,0
10719104.78508316,1271669
10719104.78508316,0
10719104.78508316,8836833
10719104.78508316,4938429
10719104.78508316,0
10719104.78508316,11329024
10719104.78508316,7437221
10719104.78508316,6457593
10719104.78508316,0
10719104.78508316,9188761
10719104.78508316,2402249
10719104.78508316,35954998
10719104.78508316,30520
10719104.78508316,52740
10719104.78508316,240620
10719104.78508316,2408005
10719104.78508316,50458155
10719104.78508316,4285698
10719104.78508316,0
10719104.78508316,950784
10719104.78508316,1458871
10719104.78508316,30848397
10719104.78508316,0
10719104.78508316,649346
10719104.78508316,4428783
10719104.78508316,6265223
10719104.78508316,0
10719104.78508316,4705144
10719104.78508316,11295924
10719104.78508316,9963489
10719104.78508316,9535
10719104.78508316,0
10719104.78508316,881606
10719104.78508316,94735546
10719104.78508316,1202867
10719104.78508316,8048307
10719104.78508316,86251926
10719104.78508316,8647715
10719104.78508316,9905088
10719104.78508316,32632562
10719104.78508316,307603
10719104.78508316,1168542
10719104.78508316,51218051
10719104.78508316,48811555
10719104.78508316,0
10719104.78508316,60871665
10719104.78508316,0
10719104.78508316,132778152
10719104.78508316,6499222
10719104.78508316,0
10719104.78508316,23231890
10719104.78508316,26912818
10719104.78508316,0
10719104.78508316,1382088
10719104.78508316,20351440
10719104.78508316,239434
10719104.78508316,9221430
10719104.78508316,0
10719104.78508316,17391998
10719104.78508316,1334575
10719104.78508316,0
10719104.78508316,4557460
10719104.78508316,9453074
