"预测结果","真实结果"
11018011.055906326,13023775
10877202.589115964,0
10879002.09941045,13309
10878979.101948906,0
10878979.395852886,114526110
10878979.392096838,0
10878979.39214484,1735129
10878979.392144227,2980805
10878979.392144235,42015955
10878979.392144235,13051371
10878979.392144235,10049041
10878979.392144235,399798
10878979.392144235,1420117
10878979.392144235,4103582
10878979.392144235,63976
10878979.392144235,911623
10878979.392144235,18223367
10878979.392144235,0
10878979.392144235,107178075
10878979.392144235,0
10878979.392144235,15340128
10878979.392144235,0
10878979.392144235,13978389
10878979.392144235,4187265
10878979.392144235,6004422
10878979.392144235,0
10878979.392144235,1606893
10878979.392144235,10894904
10878979.392144235,6436145
10878979.392144235,0
10878979.392144235,2476158
10878979.392144235,3246355
10878979.392144235,226584
10878979.392144235,3893895
10878979.392144235,0
10878979.392144235,0
10878979.392144235,0
10878979.392144235,0
10878979.392144235,8275360
10878979.392144235,6342132
10878979.392144235,0
10878979.392144235,12970306
10878979.392144235,6610578
10878979.392144235,0
10878979.392144235,63078559
10878979.392144235,386915
10878979.392144235,102937
10878979.392144235,3509690
10878979.392144235,53473345
10878979.392144235,0
10878979.392144235,117640888
10878979.392144235,4909016
10878979.392144235,2714374
10878979.392144235,0
10878979.392144235,15236628
10878979.392144235,6160003
10878979.392144235,39197263
10878979.392144235,0
10878979.392144235,0
10878979.392144235,161568727
10878979.392144235,0
10878979.392144235,4309872
10878979.392144235,17418591
10878979.392144235,0
10878979.392144235,2532
10878979.392144235,2517466
10878979.392144235,3238704
10878979.392144235,1611153
10878979.392144235,11372346
10878979.392144235,25876868
10878979.392144235,0
10878979.392144235,111196634
10878979.392144235,4256616
10878979.392144235,3010909
10878979.392144235,40853941
10878979.392144235,28843
10878979.392144235,16596543
10878979.392144235,0
10878979.392144235,25740102
10878979.392144235,0
10878979.392144235,0
10878979.392144235,7676
10878979.392144235,1604682
10878979.392144235,1475084
10878979.392144235,0
10878979.392144235,203577
10878979.392144235,0
10878979.392144235,1489550
10878979.392144235,46254373
10878979.392144235,0
10878979.392144235,6543438
10878979.392144235,5630264
10878979.392144235,17897911
10878979.392144235,10246032
10878979.392144235,0
10878979.392144235,200098
10878979.392144235,0
10878979.392144235,4860622
10878979.392144235,1358446
10878979.392144235,0
10878979.392144235,15471790
10878979.392144235,35471
10878979.392144235,2928578
10878979.392144235,484557
10878979.392144235,0
10878979.392144235,1276659
10878979.392144235,50221761
10878979.392144235,159148
10878979.392144235,2982511
10878979.392144235,3373736
10878979.392144235,26266351
10878979.392144235,0
10878979.392144235,2297253
10878979.392144235,19432084
10878979.392144235,43460626
10878979.392144235,3944285
10878979.392144235,252042
10878979.392144235,0
10878979.392144235,0
10878979.392144235,712163
10878979.392144235,723936
10878979.392144235,9593292
10878979.392144235,0
10878979.392144235,0
10878979.392144235,3493546
10878979.392144235,11280717
10878979.392144235,7495038
10878979.392144235,54462198
10878979.392144235,271286
10878979.392144235,416502
10878979.392144235,911150
10878979.392144235,0
10878979.392144235,15953271
10878979.392144235,36116959
10878979.392144235,24364738
10878979.392144235,37276703
10878979.392144235,192681
10878979.392144235,0
10878979.392144235,10146693
10878979.392144235,4280942
10878979.392144235,312475
10878979.392144235,16770115
10878979.392144235,2322849
10878979.392144235,0
10878979.392144235,1140030
10878979.392144235,19895864
10878979.392144235,5622883
10878979.392144235,1956939
10878979.392144235,0
10878979.392144235,0
10878979.392144235,25661108
10878979.392144235,569603
10878979.392144235,0
10878979.392144235,0
10878979.392144235,0
10878979.392144235,2943278
10878979.392144235,24451986
10878979.392144235,0
10878979.392144235,10075405
10878979.392144235,45082370
10878979.392144235,0
10878979.392144235,2920224
10878979.392144235,78602
10878979.392144235,0
10878979.392144235,0
10878979.392144235,9385
10878979.392144235,2266
10878979.392144235,34028510
10878979.392144235,19006614
10878979.392144235,2336355
10878979.392144235,66787856
10878979.392144235,0
10878979.392144235,51833976
10878979.392144235,4846111
10878979.392144235,35592988
10878979.392144235,68680067
10878979.392144235,12314587
10878979.392144235,676203
10878979.392144235,1331091
10878979.392144235,920019
10878979.392144235,34974208
10878979.392144235,14624527
10878979.392144235,0
10878979.392144235,0
10878979.392144235,0
10878979.392144235,0
10878979.392144235,3525209
10878979.392144235,0
10878979.392144235,6305144
10878979.392144235,6030272
10878979.392144235,6669959
10878979.392144235,42027391
10878979.392144235,23844560
10878979.392144235,1494507
10878979.392144235,4869500
10878979.392144235,554390
10878979.392144235,211052
10878979.392144235,3434988
10878979.392144235,47156579
10878979.392144235,0
10878979.392144235,0
10878979.392144235,15845414
10878979.392144235,13170224
10878979.392144235,2065823
10878979.392144235,10976939
10878979.392144235,260916805
10878979.392144235,3960172
10878979.392144235,0
10878979.392144235,103645830
10878979.392144235,21276018
10878979.392144235,8272190
10878979.392144235,1052530
10878979.392144235,258662
10878979.392144235,10846580
10878979.392144235,0
10878979.392144235,151100
10878979.392144235,5001994
10878979.392144235,1565947
10878979.392144235,2084980
10878979.392144235,36791616
10878979.392144235,34186130
10878979.392144235,30428652
10878979.392144235,128511432
10878979.392144235,433463
10878979.392144235,11326163
10878979.392144235,820849
10878979.392144235,197701
10878979.392144235,1135686
10878979.392144235,0
10878979.392144235,15356032
10878979.392144235,0
10878979.392144235,13818697
10878979.392144235,167557021
10878979.392144235,0
10878979.392144235,0
10878979.392144235,10497796
10878979.392144235,12552675
10878979.392144235,0
10878979.392144235,2765810
10878979.392144235,0
10878979.392144235,1968847
10878979.392144235,873983
10878979.392144235,3070014
10878979.392144235,11973255
10878979.392144235,59376
10878979.392144235,0
10878979.392144235,1044974
10878979.392144235,169625714
10878979.392144235,29870341
10878979.392144235,0
10878979.392144235,14587505
10878979.392144235,15261326
10878979.392144235,4928310
10878979.392144235,13614
10878979.392144235,46600
10878979.392144235,233322266
10878979.392144235,0
10878979.392144235,46158243
10878979.392144235,0
10878979.392144235,2075221
10878979.392144235,98116625
10878979.392144235,0
10878979.392144235,3254777
10878979.392144235,30134414
10878979.392144235,10315463
10878979.392144235,18548714
10878979.392144235,7378802
10878979.392144235,31261866
10878979.392144235,2077201
10878979.392144235,66660
10878979.392144235,3315790
10878979.392144235,899280
10878979.392144235,0
10878979.392144235,1270602
10878979.392144235,17741996
10878979.392144235,1579
10878979.392144235,0
10878979.392144235,221363
10878979.392144235,0
10878979.392144235,11117204
10878979.392144235,3287365
10878979.392144235,10358895
10878979.392144235,0
10878979.392144235,32929449
10878979.392144235,0
10878979.392144235,27106640
10878979.392144235,5351
10878979.392144235,0
10878979.392144235,87501268
10878979.392144235,3989747
10878979.392144235,29692810
10878979.392144235,766083
