"预测结果","真实结果"
9524608.671696825,21841263
9464159.721669752,0
9464543.36741157,459720
9464540.93256274,2232023
9464540.94801577,36204275
9464540.947917696,12401227
9464540.947918318,0
9464540.947918314,11515
9464540.947918314,0
9464540.947918314,15052258
9464540.947918314,4153607
9464540.947918314,21075379
9464540.947918314,0
9464540.947918314,42576728
9464540.947918314,21117244
9464540.947918314,0
9464540.947918314,1007780
9464540.947918314,185664
9464540.947918314,25364246
9464540.947918314,484474
9464540.947918314,786337
9464540.947918314,0
9464540.947918314,0
9464540.947918314,8366484
9464540.947918314,347257
9464540.947918314,14753
9464540.947918314,0
9464540.947918314,1773724
9464540.947918314,1114
9464540.947918314,2597148
9464540.947918314,0
9464540.947918314,0
9464540.947918314,893863
9464540.947918314,6645970
9464540.947918314,936670
9464540.947918314,22849140
9464540.947918314,16238949
9464540.947918314,0
9464540.947918314,45630990
9464540.947918314,2227120
9464540.947918314,0
9464540.947918314,1662122
9464540.947918314,11571163
9464540.947918314,5405234
9464540.947918314,2913661
9464540.947918314,80134114
9464540.947918314,9830
9464540.947918314,1294722
9464540.947918314,4726722
9464540.947918314,802740
9464540.947918314,33699
9464540.947918314,0
9464540.947918314,40169819
9464540.947918314,13402878
9464540.947918314,8631760
9464540.947918314,39711927
9464540.947918314,0
9464540.947918314,2672691
9464540.947918314,6078499
9464540.947918314,3166555
9464540.947918314,825411
9464540.947918314,727
9464540.947918314,9788030
9464540.947918314,15299107
9464540.947918314,0
9464540.947918314,3175239
9464540.947918314,1114783
9464540.947918314,0
9464540.947918314,4514736
9464540.947918314,8188910
9464540.947918314,0
9464540.947918314,33858473
9464540.947918314,2747960
9464540.947918314,8155449
9464540.947918314,7310433
9464540.947918314,11799427
9464540.947918314,0
9464540.947918314,7825344
9464540.947918314,0
9464540.947918314,2726686
9464540.947918314,2691469
9464540.947918314,0
9464540.947918314,6826827
9464540.947918314,1184790
9464540.947918314,1522524
9464540.947918314,2367680
9464540.947918314,1770658
9464540.947918314,0
9464540.947918314,6603664
9464540.947918314,9325077
9464540.947918314,0
9464540.947918314,46379546
9464540.947918314,48414374
9464540.947918314,12961678
9464540.947918314,0
9464540.947918314,7668101
9464540.947918314,1082291
9464540.947918314,0
9464540.947918314,0
9464540.947918314,0
9464540.947918314,354091
9464540.947918314,0
9464540.947918314,0
9464540.947918314,1165749
9464540.947918314,1691653
9464540.947918314,943907
9464540.947918314,0
9464540.947918314,7470035
9464540.947918314,10484906
9464540.947918314,33810
9464540.947918314,1570365
9464540.947918314,5861359
9464540.947918314,0
9464540.947918314,0
9464540.947918314,7966820
9464540.947918314,172315
9464540.947918314,0
9464540.947918314,4689929
9464540.947918314,12936449
9464540.947918314,19539151
9464540.947918314,816626
9464540.947918314,12483025
9464540.947918314,1349900
9464540.947918314,23350994
9464540.947918314,668740
9464540.947918314,0
9464540.947918314,19383953
9464540.947918314,0
9464540.947918314,0
9464540.947918314,16714564
9464540.947918314,96688081
9464540.947918314,16301
9464540.947918314,0
9464540.947918314,0
9464540.947918314,17804820
9464540.947918314,1399496
