"预测结果","真实结果"
11606890.145231443,7863104
11919003.080683433,2992669
11927395.895921413,1795
11927621.581369268,35486717
11927627.650122115,16660647
11927627.813312793,0
11927627.817701042,8842
11927627.817819042,34618191
11927627.817822216,0
11927627.817822302,4447212
11927627.817822304,0
11927627.817822304,13973421
11927627.817822304,339953
11927627.817822304,212489
11927627.817822304,3118011
11927627.817822304,53312769
11927627.817822304,28874908
11927627.817822304,14590325
11927627.817822304,10586931
11927627.817822304,0
11927627.817822304,131202
11927627.817822304,4562468
11927627.817822304,4860529
11927627.817822304,0
11927627.817822304,0
11927627.817822304,0
11927627.817822304,0
11927627.817822304,0
11927627.817822304,18090024
11927627.817822304,3724374
11927627.817822304,1428703
11927627.817822304,10098241
11927627.817822304,0
11927627.817822304,0
11927627.817822304,2438798
11927627.817822304,5697001
11927627.817822304,12191535
11927627.817822304,18274342
11927627.817822304,11916139
11927627.817822304,0
11927627.817822304,194621
11927627.817822304,5408
11927627.817822304,0
11927627.817822304,0
11927627.817822304,0
11927627.817822304,70032897
11927627.817822304,1059522
11927627.817822304,16682381
11927627.817822304,0
11927627.817822304,8618651
11927627.817822304,42379
11927627.817822304,0
11927627.817822304,1966315
11927627.817822304,29330628
11927627.817822304,8947811
11927627.817822304,455297
11927627.817822304,2687598
11927627.817822304,0
11927627.817822304,0
11927627.817822304,0
11927627.817822304,915066
11927627.817822304,5093586
11927627.817822304,1686648
11927627.817822304,25851368
11927627.817822304,9794473
11927627.817822304,1351650
11927627.817822304,9090811
11927627.817822304,1303759
11927627.817822304,3860637
11927627.817822304,34153661
11927627.817822304,72
11927627.817822304,37396267
11927627.817822304,16139711
11927627.817822304,231077
11927627.817822304,0
11927627.817822304,25043652
11927627.817822304,2171340
11927627.817822304,3137171
11927627.817822304,0
11927627.817822304,12803596
11927627.817822304,7121684
11927627.817822304,0
11927627.817822304,0
11927627.817822304,10103025
11927627.817822304,173387
11927627.817822304,0
11927627.817822304,0
11927627.817822304,0
11927627.817822304,5745145
11927627.817822304,0
11927627.817822304,32903544
11927627.817822304,26261639
11927627.817822304,2135035
11927627.817822304,5386071
11927627.817822304,5036384
11927627.817822304,0
11927627.817822304,0
11927627.817822304,17973535
11927627.817822304,39886134
11927627.817822304,206446
11927627.817822304,0
11927627.817822304,1921582
11927627.817822304,45018
11927627.817822304,36275580
11927627.817822304,4558848
11927627.817822304,0
11927627.817822304,10262777
11927627.817822304,14412885
11927627.817822304,60491624
11927627.817822304,0
11927627.817822304,3880165
11927627.817822304,1907002
11927627.817822304,0
11927627.817822304,5842172
11927627.817822304,0
11927627.817822304,29637403
11927627.817822304,10209
11927627.817822304,5409921
11927627.817822304,0
11927627.817822304,0
11927627.817822304,10009120
11927627.817822304,5106914
11927627.817822304,0
11927627.817822304,5336093
11927627.817822304,31008459
11927627.817822304,36700926
11927627.817822304,0
11927627.817822304,0
11927627.817822304,23766725
11927627.817822304,22985070
11927627.817822304,2914540
11927627.817822304,3638076
11927627.817822304,1926230
11927627.817822304,0
11927627.817822304,0
11927627.817822304,67032034
11927627.817822304,55477518
11927627.817822304,44157915
11927627.817822304,0
11927627.817822304,29176194
11927627.817822304,0
11927627.817822304,14758331
11927627.817822304,1321327
11927627.817822304,8532770
11927627.817822304,81019439
11927627.817822304,28969
11927627.817822304,19290908
11927627.817822304,5869771
11927627.817822304,8647
11927627.817822304,47421359
11927627.817822304,2967216
11927627.817822304,344401
11927627.817822304,9858189
11927627.817822304,89456039
11927627.817822304,34664
11927627.817822304,3152793
11927627.817822304,0
11927627.817822304,146073
11927627.817822304,3476959
11927627.817822304,47182766
11927627.817822304,75217775
11927627.817822304,986227
11927627.817822304,0
11927627.817822304,3202156
11927627.817822304,0
11927627.817822304,2697176
11927627.817822304,0
11927627.817822304,0
11927627.817822304,6721373
11927627.817822304,0
11927627.817822304,0
11927627.817822304,0
11927627.817822304,0
11927627.817822304,23966292
11927627.817822304,5067252
11927627.817822304,28
11927627.817822304,0
11927627.817822304,223678569
11927627.817822304,36143164
11927627.817822304,27577518
11927627.817822304,623826
11927627.817822304,70147643
11927627.817822304,763275
11927627.817822304,11812128
11927627.817822304,6343202
11927627.817822304,4988366
11927627.817822304,3579627
11927627.817822304,460585
11927627.817822304,0
11927627.817822304,36410
11927627.817822304,1084170
11927627.817822304,1562819
11927627.817822304,0
11927627.817822304,0
11927627.817822304,72
11927627.817822304,9614851
11927627.817822304,4711973
11927627.817822304,3450281
11927627.817822304,0
11927627.817822304,27384222
11927627.817822304,62486774
11927627.817822304,32939981
11927627.817822304,1735378
11927627.817822304,35487
11927627.817822304,30925416
11927627.817822304,0
11927627.817822304,120378
11927627.817822304,0
11927627.817822304,482049
11927627.817822304,16088575
11927627.817822304,9906881
11927627.817822304,34610336
11927627.817822304,58736331
11927627.817822304,20971441
11927627.817822304,536072
11927627.817822304,0
11927627.817822304,17592314
11927627.817822304,1289649
11927627.817822304,7402041
11927627.817822304,39015408
11927627.817822304,11040105
11927627.817822304,1531495
11927627.817822304,21851217
11927627.817822304,16981815
11927627.817822304,4946775
11927627.817822304,0
11927627.817822304,59921210
11927627.817822304,82429024
11927627.817822304,7929095
11927627.817822304,7896652
11927627.817822304,57504
11927627.817822304,223464
11927627.817822304,1955076
11927627.817822304,0
11927627.817822304,0
11927627.817822304,0
11927627.817822304,2197424
11927627.817822304,14764603
11927627.817822304,0
11927627.817822304,0
11927627.817822304,0
11927627.817822304,6106710
11927627.817822304,45732005
11927627.817822304,1875618
