"预测结果","真实结果"
9388551.429357007,31827272
9525244.480473483,0
9527234.66930763,1092089
9527263.645554507,6322287
9527264.067435522,0
9527264.073577918,31744
9527264.07366735,35328774
9527264.073668651,95720
9527264.07366867,4454652
9527264.07366867,715511
9527264.07366867,0
9527264.07366867,17666982
9527264.07366867,0
9527264.07366867,229657
9527264.07366867,3195
9527264.07366867,28188625
9527264.07366867,798264
9527264.07366867,34249188
9527264.07366867,11922564
9527264.07366867,4243941
9527264.07366867,31111773
9527264.07366867,13077826
9527264.07366867,6213666
9527264.07366867,4942591
9527264.07366867,0
9527264.07366867,8107851
9527264.07366867,192412
9527264.07366867,0
9527264.07366867,0
9527264.07366867,0
9527264.07366867,2122228
9527264.07366867,0
9527264.07366867,37009679
9527264.07366867,4389222
9527264.07366867,0
9527264.07366867,3576564
9527264.07366867,274425
9527264.07366867,28249841
9527264.07366867,23587759
9527264.07366867,0
9527264.07366867,108521
9527264.07366867,3828
9527264.07366867,15165676
9527264.07366867,1836961
9527264.07366867,35303181
9527264.07366867,22613750
9527264.07366867,0
9527264.07366867,0
9527264.07366867,22346333
9527264.07366867,1251691
9527264.07366867,0
9527264.07366867,34078131
9527264.07366867,607110
9527264.07366867,5272938
9527264.07366867,203046
9527264.07366867,0
9527264.07366867,16498231
9527264.07366867,41530763
9527264.07366867,8063192
9527264.07366867,91268724
9527264.07366867,863556
9527264.07366867,12088004
9527264.07366867,10413698
9527264.07366867,1133672
9527264.07366867,560290
9527264.07366867,3836259
9527264.07366867,54141
9527264.07366867,1646556
9527264.07366867,1728452
9527264.07366867,25471
9527264.07366867,7340991
9527264.07366867,0
9527264.07366867,0
9527264.07366867,190485
9527264.07366867,21843411
9527264.07366867,0
9527264.07366867,2261377
9527264.07366867,0
9527264.07366867,0
9527264.07366867,0
9527264.07366867,9010570
9527264.07366867,1239304
9527264.07366867,0
9527264.07366867,1015675
9527264.07366867,0
9527264.07366867,8417974
9527264.07366867,3456185
9527264.07366867,2585058
9527264.07366867,2228937
9527264.07366867,9796981
9527264.07366867,0
9527264.07366867,53075
9527264.07366867,1972564
9527264.07366867,10104615
9527264.07366867,215060
9527264.07366867,10386813
9527264.07366867,0
9527264.07366867,2223064
9527264.07366867,6220388
9527264.07366867,0
9527264.07366867,0
9527264.07366867,99137464
9527264.07366867,1894474
9527264.07366867,5268663
9527264.07366867,18083436
9527264.07366867,46696484
9527264.07366867,0
9527264.07366867,24841416
9527264.07366867,63762599
9527264.07366867,2812414
9527264.07366867,1395895
9527264.07366867,0
9527264.07366867,0
9527264.07366867,1387544
9527264.07366867,39189
9527264.07366867,448794
9527264.07366867,2083476
9527264.07366867,0
9527264.07366867,3232144
9527264.07366867,28539560
9527264.07366867,959719
9527264.07366867,0
9527264.07366867,11205742
9527264.07366867,0
9527264.07366867,26468548
9527264.07366867,1723577
9527264.07366867,84415
9527264.07366867,0
9527264.07366867,0
9527264.07366867,1866242
9527264.07366867,23889665
9527264.07366867,1771962
9527264.07366867,18709021
9527264.07366867,0
9527264.07366867,260850
9527264.07366867,0
9527264.07366867,3125770
9527264.07366867,0
9527264.07366867,2101
9527264.07366867,24857024
9527264.07366867,59541167
9527264.07366867,4315298
9527264.07366867,1334978
9527264.07366867,3847772
9527264.07366867,11033068
9527264.07366867,21488699
9527264.07366867,5925131
9527264.07366867,0
9527264.07366867,307296
9527264.07366867,28373826
9527264.07366867,0
9527264.07366867,1140933
9527264.07366867,8442
9527264.07366867,0
9527264.07366867,19350612
9527264.07366867,19051928
9527264.07366867,2597
9527264.07366867,950046
9527264.07366867,0
9527264.07366867,0
9527264.07366867,0
9527264.07366867,19483475
9527264.07366867,4022405
9527264.07366867,2121454
9527264.07366867,0
9527264.07366867,10776337
9527264.07366867,27700252
9527264.07366867,278375
9527264.07366867,6441937
9527264.07366867,2287513
9527264.07366867,0
9527264.07366867,0
9527264.07366867,11822237
9527264.07366867,1199353
9527264.07366867,0
9527264.07366867,936427
9527264.07366867,26701820
9527264.07366867,0
9527264.07366867,17808162
9527264.07366867,52918455
9527264.07366867,0
9527264.07366867,7231349
9527264.07366867,37062715
9527264.07366867,0
9527264.07366867,769420
9527264.07366867,1424517
9527264.07366867,7165391
9527264.07366867,0
9527264.07366867,15264801
9527264.07366867,230484
9527264.07366867,2128473
9527264.07366867,8652112
9527264.07366867,4211081
9527264.07366867,20040633
9527264.07366867,23259902
9527264.07366867,1478924
9527264.07366867,651173
9527264.07366867,25773127
9527264.07366867,0
9527264.07366867,124072
9527264.07366867,131316500
9527264.07366867,0
9527264.07366867,0
9527264.07366867,331798
9527264.07366867,275574
9527264.07366867,26067665
9527264.07366867,0
9527264.07366867,28196691
9527264.07366867,3986551
9527264.07366867,12006328
9527264.07366867,13133854
9527264.07366867,362154
9527264.07366867,1444210
9527264.07366867,10455057
9527264.07366867,0
9527264.07366867,0
9527264.07366867,8091080
9527264.07366867,41323263
9527264.07366867,11347441
9527264.07366867,752600
9527264.07366867,167366
9527264.07366867,35415525
9527264.07366867,0
9527264.07366867,1486730
9527264.07366867,29376423
9527264.07366867,6024075
9527264.07366867,0
9527264.07366867,218029
9527264.07366867,769113
9527264.07366867,0
9527264.07366867,7622558
9527264.07366867,708752
9527264.07366867,161494
9527264.07366867,56507746
9527264.07366867,604982
9527264.07366867,1564604
9527264.07366867,17309681
9527264.07366867,11407105
9527264.07366867,163358
9527264.07366867,0
9527264.07366867,2707603
9527264.07366867,10584304
9527264.07366867,0
9527264.07366867,0
9527264.07366867,27939322
9527264.07366867,40843957
9527264.07366867,3148033
9527264.07366867,25688848
9527264.07366867,94148200
9527264.07366867,2116167
9527264.07366867,10865787
9527264.07366867,0
9527264.07366867,0
9527264.07366867,4045588
9527264.07366867,35418527
9527264.07366867,9125941
9527264.07366867,0
9527264.07366867,4872
9527264.07366867,0
9527264.07366867,0
9527264.07366867,2985758
9527264.07366867,109973902
9527264.07366867,94215
9527264.07366867,1594084
9527264.07366867,72422205
9527264.07366867,11697652
9527264.07366867,163810
9527264.07366867,1285114
9527264.07366867,7223254
9527264.07366867,24638056
9527264.07366867,1383293
9527264.07366867,0
9527264.07366867,6004448
9527264.07366867,46441
9527264.07366867,8328320
9527264.07366867,18127302
9527264.07366867,12805531
9527264.07366867,13962164
9527264.07366867,446121
9527264.07366867,1396390
9527264.07366867,1801808
9527264.07366867,17997367
9527264.07366867,0
9527264.07366867,5719145
9527264.07366867,7059906
9527264.07366867,59977916
9527264.07366867,2143130
9527264.07366867,9401147
9527264.07366867,9298886
9527264.07366867,0
9527264.07366867,0
9527264.07366867,0
9527264.07366867,438220
9527264.07366867,982521
9527264.07366867,1189544
9527264.07366867,0
9527264.07366867,7614841
9527264.07366867,156812
9527264.07366867,879702
9527264.07366867,87296
9527264.07366867,0
9527264.07366867,664694
9527264.07366867,443446
9527264.07366867,25766321
9527264.07366867,7631933
9527264.07366867,4023527
9527264.07366867,312518608
9527264.07366867,12750105
9527264.07366867,5192112
9527264.07366867,1878137
9527264.07366867,0
9527264.07366867,360190
9527264.07366867,0
9527264.07366867,6634741
9527264.07366867,8677304
9527264.07366867,29830021
9527264.07366867,3956259
9527264.07366867,35683743
9527264.07366867,7605493
9527264.07366867,14733635
9527264.07366867,26998921
9527264.07366867,0
9527264.07366867,2807337
9527264.07366867,3212729
9527264.07366867,6475040
9527264.07366867,4828152
9527264.07366867,7372823
9527264.07366867,1009367
9527264.07366867,3400221
9527264.07366867,0
9527264.07366867,38844195
9527264.07366867,5969011
9527264.07366867,27208
9527264.07366867,537316
9527264.07366867,3626621
9527264.07366867,59771518
9527264.07366867,1352671
9527264.07366867,2621459
9527264.07366867,5434416
9527264.07366867,1006017
9527264.07366867,0
9527264.07366867,5365094
9527264.07366867,0
9527264.07366867,49246509
9527264.07366867,88755232
9527264.07366867,9877712
9527264.07366867,26877401
9527264.07366867,2486672
9527264.07366867,0
9527264.07366867,4458191
9527264.07366867,70045367
9527264.07366867,0
9527264.07366867,10739853
9527264.07366867,0
9527264.07366867,16397671
9527264.07366867,796248
9527264.07366867,0
9527264.07366867,1256326
9527264.07366867,5449854
9527264.07366867,0
9527264.07366867,1616946
9527264.07366867,13850819
9527264.07366867,583440
9527264.07366867,2668085
9527264.07366867,3683502
9527264.07366867,0
9527264.07366867,76892092
9527264.07366867,0
9527264.07366867,1030857
9527264.07366867,19045412
9527264.07366867,0
9527264.07366867,0
9527264.07366867,21522442
9527264.07366867,1118372
9527264.07366867,1781578
9527264.07366867,21668478
9527264.07366867,13374491
9527264.07366867,10454352
9527264.07366867,0
9527264.07366867,33786
9527264.07366867,0
9527264.07366867,41538881
9527264.07366867,19941975
9527264.07366867,36637
9527264.07366867,24076007
9527264.07366867,0
9527264.07366867,0
9527264.07366867,57197
9527264.07366867,1062040
9527264.07366867,2225879
9527264.07366867,45576756
9527264.07366867,0
9527264.07366867,1450761
9527264.07366867,36958206
9527264.07366867,7609531
9527264.07366867,34093533
9527264.07366867,20237880
9527264.07366867,791878
9527264.07366867,861617
9527264.07366867,0
9527264.07366867,39945387
9527264.07366867,7540527
9527264.07366867,2565457
9527264.07366867,0
9527264.07366867,0
9527264.07366867,5254184
9527264.07366867,1787014
9527264.07366867,246814
9527264.07366867,12779153
9527264.07366867,2562471
9527264.07366867,1935394
9527264.07366867,62771
