"预测结果","真实结果"
11086675.39422115,0
11115971.461831454,2921927
11116048.87544256,19416651
11116049.080004731,0
11116049.080545278,0
11116049.080546707,16171513
11116049.08054671,1052124
11116049.08054671,1180580
11116049.08054671,236892
11116049.08054671,43541664
11116049.08054671,4568390
11116049.08054671,14863626
11116049.08054671,3346734
11116049.08054671,0
11116049.08054671,267464
11116049.08054671,283
11116049.08054671,0
11116049.08054671,6460629
11116049.08054671,0
11116049.08054671,0
11116049.08054671,14250270
11116049.08054671,178044
11116049.08054671,0
11116049.08054671,32918
11116049.08054671,0
11116049.08054671,1231799
11116049.08054671,10538109
11116049.08054671,0
11116049.08054671,0
11116049.08054671,896414
11116049.08054671,1630682
11116049.08054671,0
11116049.08054671,129750080
11116049.08054671,0
11116049.08054671,0
11116049.08054671,0
11116049.08054671,31633776
11116049.08054671,65367678
11116049.08054671,16498822
11116049.08054671,30208311
11116049.08054671,29501549
11116049.08054671,21836168
11116049.08054671,0
11116049.08054671,7881940
11116049.08054671,1122958
11116049.08054671,1029924
11116049.08054671,373876
11116049.08054671,2042357
11116049.08054671,2406920
11116049.08054671,3924788
11116049.08054671,76559943
11116049.08054671,1231268
11116049.08054671,0
11116049.08054671,13012104
11116049.08054671,24697290
11116049.08054671,0
11116049.08054671,3025164
11116049.08054671,2833255
11116049.08054671,10050460
11116049.08054671,0
11116049.08054671,43037356
11116049.08054671,0
11116049.08054671,357304
11116049.08054671,0
11116049.08054671,154840
11116049.08054671,0
11116049.08054671,7140940
11116049.08054671,56959418
11116049.08054671,3288780
11116049.08054671,12766446
11116049.08054671,43515520
11116049.08054671,5668369
11116049.08054671,0
11116049.08054671,1175
11116049.08054671,28968267
11116049.08054671,25115961
11116049.08054671,1697837
11116049.08054671,1315800
11116049.08054671,4962487
11116049.08054671,0
11116049.08054671,84988579
11116049.08054671,8408485
11116049.08054671,0
11116049.08054671,0
11116049.08054671,10219566
11116049.08054671,849623
11116049.08054671,0
11116049.08054671,13551539
11116049.08054671,3921819
11116049.08054671,4846155
11116049.08054671,27121590
11116049.08054671,665995
11116049.08054671,1891771
11116049.08054671,8782018
11116049.08054671,21811
11116049.08054671,384928
11116049.08054671,0
11116049.08054671,5260236
11116049.08054671,17100630
11116049.08054671,0
11116049.08054671,2135596
11116049.08054671,2422536
11116049.08054671,1069603
11116049.08054671,25356918
11116049.08054671,0
11116049.08054671,0
11116049.08054671,27129625
11116049.08054671,961902
11116049.08054671,21744647
11116049.08054671,383328
11116049.08054671,2475606
11116049.08054671,1667599
11116049.08054671,6538
11116049.08054671,0
11116049.08054671,2185856
11116049.08054671,0
11116049.08054671,12860007
11116049.08054671,0
11116049.08054671,294016
11116049.08054671,0
11116049.08054671,119760390
11116049.08054671,0
11116049.08054671,9677438
11116049.08054671,3366581
11116049.08054671,1320574
11116049.08054671,0
11116049.08054671,0
11116049.08054671,6401682
11116049.08054671,3964
11116049.08054671,17123024
11116049.08054671,0
11116049.08054671,1618998
11116049.08054671,6337
11116049.08054671,846359
11116049.08054671,0
11116049.08054671,515930
11116049.08054671,278
11116049.08054671,260134
11116049.08054671,0
11116049.08054671,104564806
11116049.08054671,0
11116049.08054671,31294170
11116049.08054671,548852
11116049.08054671,24
11116049.08054671,7089787
11116049.08054671,0
11116049.08054671,846255
11116049.08054671,9027041
11116049.08054671,0
11116049.08054671,830771
11116049.08054671,1479343
11116049.08054671,217646
11116049.08054671,4683433
11116049.08054671,55538582
11116049.08054671,0
11116049.08054671,6938090
11116049.08054671,52391713
11116049.08054671,3092962
11116049.08054671,0
11116049.08054671,25718943
11116049.08054671,0
11116049.08054671,18200807
11116049.08054671,117728
11116049.08054671,0
11116049.08054671,11440198
11116049.08054671,30137881
11116049.08054671,0
11116049.08054671,17828304
11116049.08054671,1312262
11116049.08054671,74426297
11116049.08054671,41356
11116049.08054671,0
11116049.08054671,128953520
11116049.08054671,0
11116049.08054671,0
11116049.08054671,8882719
11116049.08054671,8699849
11116049.08054671,0
11116049.08054671,8623974
11116049.08054671,3920000
11116049.08054671,0
11116049.08054671,4924479
11116049.08054671,1538402
11116049.08054671,73323
11116049.08054671,10736750
11116049.08054671,4731639
11116049.08054671,6489432
11116049.08054671,1195364
11116049.08054671,6236626
11116049.08054671,1195908
11116049.08054671,427064
11116049.08054671,6586120
11116049.08054671,30839803
11116049.08054671,0
11116049.08054671,11258806
11116049.08054671,80917773
11116049.08054671,0
11116049.08054671,0
11116049.08054671,0
11116049.08054671,1963563
11116049.08054671,0
11116049.08054671,0
11116049.08054671,0
11116049.08054671,16298354
11116049.08054671,52081648
11116049.08054671,3594118
11116049.08054671,7558881
11116049.08054671,51698
11116049.08054671,26622236
11116049.08054671,0
11116049.08054671,15568078
11116049.08054671,0
11116049.08054671,4438248
11116049.08054671,15959907
11116049.08054671,0
11116049.08054671,974788
11116049.08054671,7034280
11116049.08054671,125381739
11116049.08054671,364083
11116049.08054671,2869576
11116049.08054671,0
11116049.08054671,0
11116049.08054671,21249555
11116049.08054671,95442194
11116049.08054671,8208042
11116049.08054671,26832653
11116049.08054671,45121155
11116049.08054671,10697011
11116049.08054671,30480058
